Items,Origin,Items grouped,Item group filter,Category,Unit,amount,"FSC - KGs (sack=25, pack=1, box=4.5)",FSC - Total KGs,Mission,District,VDC,Village/Ward/extra info,VDC Latitude,VDC Longitude,District Latitude,District Longitude,Date
,,Medicine - rehydration,,Medicine,unit,36,Undefined,#VALUE!,MISSION 02/5 *14,Dhading,Gumdi,Jyamrung,28.0475,84.951,28,84.91667,2-May-15
,,Medicine - supplies,,Sanitation - supplies,unit,25,Undefined,#VALUE!,MISSION 02/5 *14,Dhading,Gumdi,Jyamrung,28.0475,84.951,28,84.91667,2-May-15
,,Sanitary pads,,Sanitation - supplies,pack,15,Undefined,#VALUE!,MISSION 02/5 *14,Dhading,Gumdi,Jyamrung,28.0475,84.951,28,84.91667,2-May-15
,,Piyush,,Sanitation - Water purification,bottle,10,Undefined,#VALUE!,MISSION 02/5 *14,Dhading,Gumdi,Jyamrung,28.0475,84.951,28,84.91667,2-May-15
,,Beaten Rice,,Food - Dry Food,sack,4,25,100,MISSION 02/5 *15,Sindhupalchok,Jalbire,,27.82148,85.78307,27.82936,85.54504,2-May-15
,,Biscuits,,Food - Dry Food,box,6,4.5,27,MISSION 02/5 *15,Sindhupalchok,Jalbire,,27.82148,85.78307,27.82936,85.54504,2-May-15
,,Noodles,,Food - Dry Food,box,6,4.5,27,MISSION 02/5 *15,Sindhupalchok,Jalbire,,27.82148,85.78307,27.82936,85.54504,2-May-15
,,Medical Kit,,Medicine,unit,2,Undefined,#VALUE!,MISSION 02/5 *15,Sindhupalchok,Jalbire,,27.82148,85.78307,27.82936,85.54504,2-May-15
,,Medicine - rehydration,,Medicine,unit,150,Undefined,#VALUE!,MISSION 02/5 *15,Sindhupalchok,Jalbire,,27.82148,85.78307,27.82936,85.54504,2-May-15
,,Medicine - supplies,,Sanitation - supplies,unit,144,Undefined,#VALUE!,MISSION 02/5 *15,Sindhupalchok,Jalbire,,27.82148,85.78307,27.82936,85.54504,2-May-15
,,Plastic rolls,,Shelter,rolls,23,Undefined,#VALUE!,MISSION 02/5 *15,Sindhupalchok,Jalbire,,27.82148,85.78307,27.82936,85.54504,2-May-15
,,Rope,,Shelter,unit,90,Undefined,#VALUE!,MISSION 02/5 *15,Sindhupalchok,Jalbire,,27.82148,85.78307,27.82936,85.54504,2-May-15
,,Tarp,,Shelter,unit,110,Undefined,#VALUE!,MISSION 02/5 *15,Sindhupalchok,Jalbire,,27.82148,85.78307,27.82936,85.54504,2-May-15
,,Biscuits,,Food - Dry Food,box,5,4.5,22.5,MISSION 02/5 *16,Bhaktapur,Kautunje,Suryabinayak,27.6636,85.4115,27.66734,85.41673,2-May-15
,,Noodles,,Food - Dry Food,box,3,4.5,13.5,MISSION 02/5 *16,Bhaktapur,Kautunje,Suryabinayak,27.6636,85.4115,27.66734,85.41673,2-May-15
,,Medicine - drug,,Medicine,tabs,340,Undefined,#VALUE!,MISSION 02/5 *16,Bhaktapur,Kautunje,Suryabinayak,27.6636,85.4115,27.66734,85.41673,2-May-15
,,Biscuits,,Food - Dry Food,box,4,4.5,18,MISSION 02/5 *17,Lalitpur,Sankhu,,27.5084,85.3367,27.58333,85.33333,2-May-15
,,Food,,Food - Supplies,pack,10,Undefined,#VALUE!,MISSION 02/5 *17,Lalitpur,Sankhu,,27.5084,85.3367,27.58333,85.33333,2-May-15
,,Rice,,Food - Dry Food,sack,2,25,50,MISSION 02/5 *17,Lalitpur,Sankhu,,27.5084,85.3367,27.58333,85.33333,2-May-15
,,Medicine - rehydration,,Medicine,unit,50,Undefined,#VALUE!,MISSION 02/5 *17,Lalitpur,Sankhu,,27.5084,85.3367,27.58333,85.33333,2-May-15
,,Medicine - supplies,,Sanitation - supplies,unit,500,Undefined,#VALUE!,MISSION 02/5 *17,Lalitpur,Sankhu,,27.5084,85.3367,27.58333,85.33333,2-May-15
,,Lime,,Shelter,pack,4,Undefined,#VALUE!,MISSION 02/5 *17,Lalitpur,Sankhu,,27.5084,85.3367,27.58333,85.33333,2-May-15
,,Sanitary pads,,Sanitation - supplies,pack,75,Undefined,#VALUE!,MISSION 02/5 *18,Kathmandu District,Sitapaila,Alegaun,27.71517,85.27648,27.70704,85.33218,2-May-15
,,Sanitary pads,,Sanitation - supplies,pack,35,Undefined,#VALUE!,MISSION 02/5 *19,Kathmandu District,Machchhegaun,Sharmasthali,27.4687,85.7881,27.70704,85.33218,2-May-15
,,Medical Kit,,Medicine,unit,1,Undefined,#VALUE!,MISSION 02/5 *20,Lalitpur,Bungamati,and also Lubhu VDC,27.6211,85.303,27.58333,85.33333,2-May-15
,,Sanitary pads,,Sanitation - supplies,pack,12,Undefined,#VALUE!,MISSION 02/5 *20,Lalitpur,Bungamati,and also Lubhu VDC,27.6211,85.303,27.58333,85.33333,2-May-15
,,Piyush,,Sanitation - Water purification,bottle,4,Undefined,#VALUE!,MISSION 02/5 *20,Lalitpur,Bungamati,and also Lubhu VDC,27.6211,85.303,27.58333,85.33333,2-May-15
,,Medical Kit,,Medicine,unit,1,Undefined,#VALUE!,MISSION 02/5 *21,Dhading,Marpak,,28.0135,84.9646,28,84.91667,2-May-15
,,Medicine - rehydration,,Medicine,unit,260,Undefined,#VALUE!,MISSION 02/5 *21,Dhading,Marpak,,28.0135,84.9646,28,84.91667,2-May-15
,,Masks,,Sanitation - supplies,box,3,Undefined,#VALUE!,MISSION 02/5 *21,Dhading,Marpak,,28.0135,84.9646,28,84.91667,2-May-15
,,Sanitary pads,,Sanitation - supplies,pack,12,Undefined,#VALUE!,MISSION 02/5 *21,Dhading,Marpak,,28.0135,84.9646,28,84.91667,2-May-15
,,Piyush,,Sanitation - Water purification,bottle,15,Undefined,#VALUE!,MISSION 02/5 *21,Dhading,Marpak,,28.0135,84.9646,28,84.91667,2-May-15
,,Biscuits,,Food - Dry Food,box,1,4.5,4.5,MISSION 03/5 *01,Makwanpur,Hurnamadi,Phulbari and Ghadi,27.37221,85.15362,27.41667,85.25,3-May-15
,,Dalmot,,Food - Dry Food,pack,2,1,2,MISSION 03/5 *01,Makwanpur,Hurnamadi,Phulbari and Ghadi,27.37221,85.15362,27.41667,85.25,3-May-15
,,Noodles,,Food - Dry Food,box,1,4.5,4.5,MISSION 03/5 *01,Makwanpur,Hurnamadi,Phulbari and Ghadi,27.37221,85.15362,27.41667,85.25,3-May-15
,,Tarp,,Shelter,unit,1,Undefined,#VALUE!,MISSION 03/5 *01,Makwanpur,Hurnamadi,Phulbari and Ghadi,27.37221,85.15362,27.41667,85.25,3-May-15
,,Noodles,,Food - Dry Food,box,4,4.5,18,MISSION 03/5 *02,Lalitpur,Bukhel,and also Choughare VDC,27.4958,85.3634,27.58333,85.33333,3-May-15
,,Medical Kit,,Medicine,unit,1,Undefined,#VALUE!,MISSION 03/5 *02,Lalitpur,Bukhel,and also Choughare VDC,27.4958,85.3634,27.58333,85.33333,3-May-15
,,Piyush,,Sanitation - Water purification,bottle,1,Undefined,#VALUE!,MISSION 03/5 *02,Lalitpur,Bukhel,and also Choughare VDC,27.4958,85.3634,27.58333,85.33333,3-May-15
,,Tarp,,Shelter,unit,25,Undefined,#VALUE!,MISSION 03/5 *02,Lalitpur,Bukhel,and also Choughare VDC,27.4958,85.3634,27.58333,85.33333,3-May-15
,,Tarp,,Shelter,unit,7,Undefined,#VALUE!,MISSION 03/5 *03,Gorkha,Tandrang,,28.0337,84.7752,28.33333,84.83333,3-May-15
,,Tarp,,Shelter,unit,13,Undefined,#VALUE!,MISSION 03/5 *04,Gorkha,Gakhu,Dandagaun,28.06,84.6238,28.33333,84.83333,3-May-15
,,Tarp,,Shelter,unit,12,Undefined,#VALUE!,MISSION 03/5 *05,Gorkha,Takukot,,28.076,84.6867,28.33333,84.83333,3-May-15
,,Beaten Rice,,Food - Dry Food,sack,9,25,225,MISSION 03/5 *06,Dhading,Jyamrung,Nayagaun,27.976,84.8736,28,84.91667,3-May-15
,,Matress,,Shelter,unit,12,Undefined,#VALUE!,MISSION 03/5 *06,Dhading,Jyamrung,Nayagaun,27.976,84.8736,28,84.91667,3-May-15
,,Water,,Food - Drinks,bottle,1,Undefined,#VALUE!,MISSION 03/5 *07,Nuwakot,Thanapati,,27.84068,85.2943,27.964,83.0549,3-May-15
,,Biscuits,,Food - Dry Food,box,6,4.5,27,MISSION 03/5 *07,Nuwakot,Thanapati,,27.84068,85.2943,27.964,83.0549,3-May-15
,,Dal,,Food - Dry Food,pack,1,1,1,MISSION 03/5 *07,Nuwakot,Thanapati,,27.84068,85.2943,27.964,83.0549,3-May-15
,,Noodles,,Food - Dry Food,box,216,4.5,972,MISSION 03/5 *07,Nuwakot,Thanapati,,27.84068,85.2943,27.964,83.0549,3-May-15
,,Rice,,Food - Dry Food,sack,1,25,25,MISSION 03/5 *07,Nuwakot,Thanapati,,27.84068,85.2943,27.964,83.0549,3-May-15
,,Beaten Rice,,Food - Dry Food,sack,1,25,25,MISSION 03/5 *08,Dhading,Dhola,Chedi/Guthgaun/Dhuaga/Dhuwako,27.9168,84.8315,28,84.91667,3-May-15
,,Biscuits,,Food - Dry Food,box,6,4.5,27,MISSION 03/5 *08,Dhading,Dhola,Chedi/Guthgaun/Dhuaga/Dhuwako,27.9168,84.8315,28,84.91667,3-May-15
,,Noodles,,Food - Dry Food,box,1,4.5,4.5,MISSION 03/5 *08,Dhading,Dhola,Chedi/Guthgaun/Dhuaga/Dhuwako,27.9168,84.8315,28,84.91667,3-May-15
,,Rice,,Food - Dry Food,sack,1,25,25,MISSION 03/5 *08,Dhading,Dhola,Chedi/Guthgaun/Dhuaga/Dhuwako,27.9168,84.8315,28,84.91667,3-May-15
,,Medical Kit,,Medicine,unit,1,Undefined,#VALUE!,MISSION 03/5 *08,Dhading,Dhola,Chedi/Guthgaun/Dhuaga/Dhuwako,27.9168,84.8315,28,84.91667,3-May-15
,,Medicine - rehydration,,Medicine,unit,200,Undefined,#VALUE!,MISSION 03/5 *08,Dhading,Dhola,Chedi/Guthgaun/Dhuaga/Dhuwako,27.9168,84.8315,28,84.91667,3-May-15
,,Plastic rolls,,Shelter,rolls,4,Undefined,#VALUE!,MISSION 03/5 *08,Dhading,Dhola,Chedi/Guthgaun/Dhuaga/Dhuwako,27.9168,84.8315,28,84.91667,3-May-15
,,Tarp,,Shelter,unit,2,Undefined,#VALUE!,MISSION 03/5 *09,Kabhre Palanchok,Raviopi,,27.6432,85.5682,27.58333,85.66667,3-May-15
,,Medical Kit,,Medicine,unit,1,Undefined,#VALUE!,MISSION 03/5 *10,Nuwakot,Okharpauwa,Kagatigaun,27.79251,85.25337,27.964,83.0549,3-May-15
,,Medicine - rehydration,,Medicine,unit,100,Undefined,#VALUE!,MISSION 03/5 *10,Nuwakot,Okharpauwa,Kagatigaun,27.79251,85.25337,27.964,83.0549,3-May-15
,,Medicine - supplies,,Sanitation - supplies,unit,72,Undefined,#VALUE!,MISSION 03/5 *10,Nuwakot,Okharpauwa,Kagatigaun,27.79251,85.25337,27.964,83.0549,3-May-15
,,Sanitary pads,,Sanitation - supplies,pack,60,Undefined,#VALUE!,MISSION 03/5 *10,Nuwakot,Okharpauwa,Kagatigaun,27.79251,85.25337,27.964,83.0549,3-May-15
,,Piyush,,Sanitation - Water purification,bottle,3,Undefined,#VALUE!,MISSION 03/5 *10,Nuwakot,Okharpauwa,Kagatigaun,27.79251,85.25337,27.964,83.0549,3-May-15
,,Purification tablets,,Sanitation - Water purification,tabs,150,Undefined,#VALUE!,MISSION 03/5 *10,Nuwakot,Okharpauwa,Kagatigaun,27.79251,85.25337,27.964,83.0549,3-May-15
,,Blankets,,Shelter,unit,10,Undefined,#VALUE!,MISSION 03/5 *10,Nuwakot,Okharpauwa,Kagatigaun,27.79251,85.25337,27.964,83.0549,3-May-15
,,Water,,Food - Drinks,bottle,4,Undefined,#VALUE!,MISSION 03/5 *11,Kathmandu District,Baad Bhanjyang,,27.70476,85.2104,27.70704,85.33218,3-May-15
,,Biscuits,,Food - Dry Food,box,6,4.5,27,MISSION 03/5 *11,Kathmandu District,Baad Bhanjyang,,27.70476,85.2104,27.70704,85.33218,3-May-15
,,Noodles,,Food - Dry Food,box,2,4.5,9,MISSION 03/5 *11,Kathmandu District,Baad Bhanjyang,,27.70476,85.2104,27.70704,85.33218,3-May-15
,,Rice,,Food - Dry Food,sack,1,25,25,MISSION 03/5 *11,Kathmandu District,Baad Bhanjyang,,27.70476,85.2104,27.70704,85.33218,3-May-15
,,Medical Kit,,Medicine,unit,1,Undefined,#VALUE!,MISSION 03/5 *11,Kathmandu District,Baad Bhanjyang,,27.70476,85.2104,27.70704,85.33218,3-May-15
,,Medicine - rehydration,,Medicine,unit,24,Undefined,#VALUE!,MISSION 03/5 *11,Kathmandu District,Baad Bhanjyang,,27.70476,85.2104,27.70704,85.33218,3-May-15
,,Medicine - supplies,,Sanitation - supplies,unit,1,Undefined,#VALUE!,MISSION 03/5 *11,Kathmandu District,Baad Bhanjyang,,27.70476,85.2104,27.70704,85.33218,3-May-15
,,Sanitary pads,,Sanitation - supplies,pack,72,Undefined,#VALUE!,MISSION 03/5 *11,Kathmandu District,Baad Bhanjyang,,27.70476,85.2104,27.70704,85.33218,3-May-15
,,Lime,,Shelter,pack,8,Undefined,#VALUE!,MISSION 03/5 *11,Kathmandu District,Baad Bhanjyang,,27.70476,85.2104,27.70704,85.33218,3-May-15
,,Plastic rolls,,Shelter,rolls,5,Undefined,#VALUE!,MISSION 03/5 *11,Kathmandu District,Baad Bhanjyang,,27.70476,85.2104,27.70704,85.33218,3-May-15
,,Medical Kit,,Medicine,unit,1,Undefined,#VALUE!,MISSION 03/5 *12,Lalitpur,Khokana,,27.6416,85.2962,27.58333,85.33333,3-May-15
,,Diapers,,Sanitation - Children supplies,unit,120,Undefined,#VALUE!,MISSION 03/5 *12,Lalitpur,Khokana,,27.6416,85.2962,27.58333,85.33333,3-May-15
,,Medicine - supplies,,Sanitation - supplies,unit,5,Undefined,#VALUE!,MISSION 03/5 *12,Lalitpur,Khokana,,27.6416,85.2962,27.58333,85.33333,3-May-15
,,Piyush,,Sanitation - Water purification,bottle,10,Undefined,#VALUE!,MISSION 03/5 *12,Lalitpur,Khokana,,27.6416,85.2962,27.58333,85.33333,3-May-15
,,Biscuits,,Food - Dry Food,box,5,4.5,22.5,MISSION 03/5 *13,Sindhupalchok,Sipapokhare,,27.76221,85.6291,27.82936,85.54504,3-May-15
,,Noodles,,Food - Dry Food,box,2,4.5,9,MISSION 03/5 *13,Sindhupalchok,Sipapokhare,,27.76221,85.6291,27.82936,85.54504,3-May-15
,,Rice,,Food - Dry Food,sack,1,25,25,MISSION 03/5 *13,Sindhupalchok,Sipapokhare,,27.76221,85.6291,27.82936,85.54504,3-May-15
,,Salt,,Food - Dry Food,pack,5,1,5,MISSION 03/5 *13,Sindhupalchok,Sipapokhare,,27.76221,85.6291,27.82936,85.54504,3-May-15
,,Sanitary pads,,Sanitation - supplies,pack,15,Undefined,#VALUE!,MISSION 03/5 *13,Sindhupalchok,Sipapokhare,,27.76221,85.6291,27.82936,85.54504,3-May-15
,,Beaten Rice,,Food - Dry Food,sack,1,25,25,MISSION 03/5 *14,Dhading,Salyantar,,27.99348,84.81247,28,84.91667,3-May-15
,,Biscuits,,Food - Dry Food,box,5,4.5,22.5,MISSION 03/5 *14,Dhading,Salyantar,,27.99348,84.81247,28,84.91667,3-May-15
,,Noodles,,Food - Dry Food,box,2,4.5,9,MISSION 03/5 *14,Dhading,Salyantar,,27.99348,84.81247,28,84.91667,3-May-15
,,Rice,,Food - Dry Food,sack,1,25,25,MISSION 03/5 *14,Dhading,Salyantar,,27.99348,84.81247,28,84.91667,3-May-15
,,Salt,,Food - Dry Food,pack,3,1,3,MISSION 03/5 *14,Dhading,Salyantar,,27.99348,84.81247,28,84.91667,3-May-15
,,Medical Kit,,Medicine,unit,1,Undefined,#VALUE!,MISSION 03/5 *14,Dhading,Salyantar,,27.99348,84.81247,28,84.91667,3-May-15
,,Sanitary pads,,Sanitation - supplies,pack,60,Undefined,#VALUE!,MISSION 03/5 *14,Dhading,Salyantar,,27.99348,84.81247,28,84.91667,3-May-15
,,Lime,,Shelter,pack,5,Undefined,#VALUE!,MISSION 03/5 *14,Dhading,Salyantar,,27.99348,84.81247,28,84.91667,3-May-15
,,Tarp,,Shelter,unit,10,Undefined,#VALUE!,MISSION 03/5 *14,Dhading,Salyantar,,27.99348,84.81247,28,84.91667,3-May-15
,,Medicine - rehydration,,Medicine,unit,200,Undefined,#VALUE!,MISSION 03/5 *15,Lalitpur,Sankhu,,27.5084,85.3367,27.58333,85.33333,3-May-15
,,Biscuits,,Food - Dry Food,box,4,4.5,18,MISSION 03/5 *16,Bhaktapur,BhaktapurN.P.,Dattatraya,27.6748,85.4319,27.66734,85.41673,3-May-15
,,Noodles,,Food - Dry Food,box,2,4.5,9,MISSION 03/5 *16,Bhaktapur,BhaktapurN.P.,Dattatraya,27.6748,85.4319,27.66734,85.41673,3-May-15
,,Medical Kit,,Medicine,unit,1,Undefined,#VALUE!,MISSION 03/5 *16,Bhaktapur,BhaktapurN.P.,Dattatraya,27.6748,85.4319,27.66734,85.41673,3-May-15
,,Medicine - supplies,,Sanitation - supplies,unit,10,Undefined,#VALUE!,MISSION 03/5 *16,Bhaktapur,BhaktapurN.P.,Dattatraya,27.6748,85.4319,27.66734,85.41673,3-May-15
,,Medicine - rehydration,,Medicine,unit,50,Undefined,#VALUE!,MISSION 03/5 *17,Kathmandu District,KirtipurN.P.,Panga,27.67088,85.27748,27.70704,85.33218,3-May-15
,,Purification tablets,,Sanitation - Water purification,tabs,100,Undefined,#VALUE!,MISSION 03/5 *17,Kathmandu District,KirtipurN.P.,Panga,27.67088,85.27748,27.70704,85.33218,3-May-15
,,Biscuits,,Food - Dry Food,box,5,4.5,22.5,MISSION 03/5 *18,Bhaktapur,BhaktapurN.P.,Pottery Square,27.6748,85.4319,27.66734,85.41673,3-May-15
,,Noodles,,Food - Dry Food,box,2,4.5,9,MISSION 03/5 *18,Bhaktapur,BhaktapurN.P.,Pottery Square,27.6748,85.4319,27.66734,85.41673,3-May-15
,,Lime,,Shelter,pack,5,Undefined,#VALUE!,MISSION 03/5 *18,Bhaktapur,BhaktapurN.P.,,27.6748,85.4319,27.66734,85.41673,3-May-15
,,Biscuits,,Food - Dry Food,box,1,4.5,4.5,MISSION 03/5 *19,Gorkha,Takumajhalakuribot,Lakuri,28.1006,84.681,28.33333,84.83333,3-May-15
,,Noodles,,Food - Dry Food,box,1,4.5,4.5,MISSION 03/5 *19,Gorkha,Takumajhalakuribot,Lakuri,28.1006,84.681,28.33333,84.83333,3-May-15
,,Blankets,,Shelter,unit,3,Undefined,#VALUE!,MISSION 03/5 *19,Gorkha,Takumajhalakuribot,Lakuri,28.1006,84.681,28.33333,84.83333,3-May-15
,,Plastic rolls,,Shelter,rolls,4,Undefined,#VALUE!,MISSION 03/5 *19,Gorkha,Takumajhalakuribot,Lakuri,28.1006,84.681,28.33333,84.83333,3-May-15
,,Blankets,,Shelter,unit,50,Undefined,#VALUE!,MISSION 03/5 *20,Dhading,Jharlang,Sertung,28.0988,85.0627,28,84.91667,3-May-15
,,Beaten Rice,,Food - Dry Food,sack,4,25,100,MISSION 03/5 *21,Kathmandu District,Gokarneswor,Thali,27.73878,85.39494,27.70704,85.33218,3-May-15
,,Biscuits,,Food - Dry Food,box,6,4.5,27,MISSION 03/5 *21,Kathmandu District,Gokarneswor,Thali,27.73878,85.39494,27.70704,85.33218,3-May-15
,,Noodles,,Food - Dry Food,box,4,4.5,18,MISSION 03/5 *21,Kathmandu District,Gokarneswor,Thali,27.73878,85.39494,27.70704,85.33218,3-May-15
,,Rice,,Food - Dry Food,sack,2,25,50,MISSION 03/5 *21,Kathmandu District,Gokarneswor,Thali,27.73878,85.39494,27.70704,85.33218,3-May-15
,,Beaten Rice,,Food - Dry Food,sack,5,25,125,MISSION 03/5 *22,Sindhupalchok,Jalbire,,27.82148,85.78307,27.82936,85.54504,3-May-15
,,Biscuits,,Food - Dry Food,box,6,4.5,27,MISSION 03/5 *22,Sindhupalchok,Jalbire,,27.82148,85.78307,27.82936,85.54504,3-May-15
,,Noodles,,Food - Dry Food,box,4,4.5,18,MISSION 03/5 *22,Sindhupalchok,Jalbire,,27.82148,85.78307,27.82936,85.54504,3-May-15
,,Lime,,Shelter,pack,5,Undefined,#VALUE!,MISSION 03/5 *22,Sindhupalchok,Jalbire,,27.82148,85.78307,27.82936,85.54504,3-May-15
,,Rope,,Shelter,unit,2,Undefined,#VALUE!,MISSION 03/5 *22,Sindhupalchok,Jalbire,,27.82148,85.78307,27.82936,85.54504,3-May-15
,,Tarp,,Shelter,unit,68,Undefined,#VALUE!,MISSION 03/5 *22,Sindhupalchok,Jalbire,,27.82148,85.78307,27.82936,85.54504,3-May-15
,,Biscuits,,Food - Dry Food,box,5,4.5,22.5,MISSION 03/5 *23,Lalitpur,Bhattedanda,,27.5108,85.2961,27.58333,85.33333,3-May-15
,,Noodles,,Food - Dry Food,box,3,4.5,13.5,MISSION 03/5 *23,Lalitpur,Bhattedanda,,27.5108,85.2961,27.58333,85.33333,3-May-15
,,Medicine - supplies,,Sanitation - supplies,unit,10,Undefined,#VALUE!,MISSION 03/5 *23,Lalitpur,Bhattedanda,,27.5108,85.2961,27.58333,85.33333,3-May-15
,,Biscuits,,Food - Dry Food,box,20,4.5,90,MISSION 04/5 *01,Nuwakot,Balkumari,and also Samundratar VDC,27.90506,85.38717,27.964,83.0549,4-May-15
,,Noodles,,Food - Dry Food,box,1,4.5,4.5,MISSION 04/5 *01,Nuwakot,Balkumari,and also Samundratar VDC,27.90506,85.38717,27.964,83.0549,4-May-15
,,Rice,,Food - Dry Food,sack,1,25,25,MISSION 04/5 *01,Nuwakot,Balkumari,and also Samundratar VDC,27.90506,85.38717,27.964,83.0549,4-May-15
,,Sanitary pads,,Sanitation - supplies,pack,12,Undefined,#VALUE!,MISSION 04/5 *01,Nuwakot,Balkumari,and also Samundratar VDC,27.90506,85.38717,27.964,83.0549,4-May-15
,,Blankets,,Shelter,unit,1,Undefined,#VALUE!,MISSION 04/5 *01,Nuwakot,Balkumari,and also Samundratar VDC,27.90506,85.38717,27.964,83.0549,4-May-15
,,Tarp,,Shelter,unit,5,Undefined,#VALUE!,MISSION 04/5 *01,Nuwakot,Balkumari,and also Samundratar VDC,27.90506,85.38717,27.964,83.0549,4-May-15
,,Beaten Rice,,Food - Dry Food,sack,5,25,125,MISSION 04/5 *02,Dhading,Marpak,Nimachok,28.0135,84.9646,28,84.91667,4-May-15
,,Biscuits,,Food - Dry Food,box,6,4.5,27,MISSION 04/5 *02,Dhading,Marpak,Nimachok,28.0135,84.9646,28,84.91667,4-May-15
,,Dal,,Food - Dry Food,pack,2,1,2,MISSION 04/5 *02,Dhading,Marpak,Nimachok,28.0135,84.9646,28,84.91667,4-May-15
,,Salt,,Food - Dry Food,pack,17,1,17,MISSION 04/5 *02,Dhading,Marpak,Nimachok,28.0135,84.9646,28,84.91667,4-May-15
,,Medicine - supplies,,Sanitation - supplies,unit,1160,Undefined,#VALUE!,MISSION 04/5 *02,Dhading,Marpak,Nimachok,28.0135,84.9646,28,84.91667,4-May-15
,,Blankets,,Shelter,unit,10,Undefined,#VALUE!,MISSION 04/5 *02,Dhading,Marpak,Nimachok,28.0135,84.9646,28,84.91667,4-May-15
,,Lime,,Shelter,pack,20,Undefined,#VALUE!,MISSION 04/5 *02,Dhading,Marpak,Nimachok,28.0135,84.9646,28,84.91667,4-May-15
,,Tarp,,Shelter,unit,121,Undefined,#VALUE!,MISSION 04/5 *02,Dhading,Marpak,Nimachok,28.0135,84.9646,28,84.91667,4-May-15
,,Medical Kit,,Medicine,unit,1,Undefined,#VALUE!,MISSION 04/5 *03,Nuwakot,Kakani,Ranipauwa,27.81948,85.25691,27.964,83.0549,4-May-15
,,Medicine - rehydration,,Medicine,unit,100,Undefined,#VALUE!,MISSION 04/5 *03,Nuwakot,Kakani,Ranipauwa,27.81948,85.25691,27.964,83.0549,4-May-15
,,Piyush,,Sanitation - Water purification,bottle,4,Undefined,#VALUE!,MISSION 04/5 *03,Nuwakot,Kakani,Ranipauwa,27.81948,85.25691,27.964,83.0549,4-May-15
,,Tarp,,Shelter,unit,1,Undefined,#VALUE!,MISSION 04/5 *04,Sindhupalchok,Yamunadanda,Simpani,27.72236,85.79753,27.82936,85.54504,4-May-15
,,Biscuits,,Food - Dry Food,box,3,4.5,13.5,MISSION 04/5 *05,Lalitpur,Godawari,ward,27.59628,85.37102,27.58333,85.33333,4-May-15
,,Noodles,,Food - Dry Food,box,3,4.5,13.5,MISSION 04/5 *05,Lalitpur,Godawari,ward,27.59628,85.37102,27.58333,85.33333,4-May-15
,,Medicine - surgical,,Medicine,unit,20,Undefined,#VALUE!,MISSION 04/5 *05,Lalitpur,Godawari,ward,27.59628,85.37102,27.58333,85.33333,4-May-15
,,Masks,,Sanitation - supplies,box,3,Undefined,#VALUE!,MISSION 04/5 *05,Lalitpur,Godawari,ward,27.59628,85.37102,27.58333,85.33333,4-May-15
,,Blankets,,Shelter,unit,5,Undefined,#VALUE!,MISSION 04/5 *05,Lalitpur,Godawari,ward,27.59628,85.37102,27.58333,85.33333,4-May-15
,,Tarp,,Shelter,unit,4,Undefined,#VALUE!,MISSION 04/5 *05,Lalitpur,Godawari,ward,27.59628,85.37102,27.58333,85.33333,4-May-15
,,Biscuits,,Food - Dry Food,box,3,4.5,13.5,MISSION 04/5 *06,Gorkha,Tandrang,Darme,28.0337,84.7752,28.33333,84.83333,4-May-15
,,Noodles,,Food - Dry Food,box,3,4.5,13.5,MISSION 04/5 *06,Gorkha,Tandrang,Darme,28.0337,84.7752,28.33333,84.83333,4-May-15
,,Children milk,,Sanitation - Children supplies,pack,1,Undefined,#VALUE!,MISSION 04/5 *06,Gorkha,Tandrang,Darme,28.0337,84.7752,28.33333,84.83333,4-May-15
,,Masks,,Sanitation - supplies,box,1,Undefined,#VALUE!,MISSION 04/5 *06,Gorkha,Tandrang,Darme,28.0337,84.7752,28.33333,84.83333,4-May-15
,,Blankets,,Shelter,unit,10,Undefined,#VALUE!,MISSION 04/5 *06,Gorkha,Tandrang,Darme,28.0337,84.7752,28.33333,84.83333,4-May-15
,,Tarp,,Shelter,unit,10,Undefined,#VALUE!,MISSION 04/5 *06,Gorkha,Tandrang,Darme,28.0337,84.7752,28.33333,84.83333,4-May-15
,,Medical Kit,,Medicine,unit,1,Undefined,#VALUE!,MISSION 04/5 *07,Lalitpur,Lele,Thapagaun,27.5615,85.3303,27.58333,85.33333,4-May-15
,,Medicine - drug,,Medicine,tabs,800,Undefined,#VALUE!,MISSION 04/5 *07,Lalitpur,Lele,Thapagaun,27.5615,85.3303,27.58333,85.33333,4-May-15
,,Medicine - rehydration,,Medicine,unit,220,Undefined,#VALUE!,MISSION 04/5 *07,Lalitpur,Lele,Thapagaun,27.5615,85.3303,27.58333,85.33333,4-May-15
,,Masks,,Sanitation - supplies,box,2,Undefined,#VALUE!,MISSION 04/5 *07,Lalitpur,Lele,Thapagaun,27.5615,85.3303,27.58333,85.33333,4-May-15
,,Medicine - supplies,,Sanitation - supplies,unit,20,Undefined,#VALUE!,MISSION 04/5 *07,Lalitpur,Lele,Thapagaun,27.5615,85.3303,27.58333,85.33333,4-May-15
,,Masks,,Sanitation - supplies,box,1,Undefined,#VALUE!,MISSION 04/5 *08,Kathmandu District,Thankot,Matshya,27.69253,85.21606,27.70704,85.33218,4-May-15
,,Piyush,,Sanitation - Water purification,bottle,20,Undefined,#VALUE!,MISSION 04/5 *08,Kathmandu District,Thankot,Matshya,27.69253,85.21606,27.70704,85.33218,4-May-15
